sample_id,cluster_label,batch,color
Cell_11093,2,MCI4_GM,cyan
Cell_11094,1,MCI4_GM,blue
Cell_11095,2,MCI4_GM,cyan
Cell_11096,2,MCI4_GM,cyan
Cell_11097,2,MCI4_GM,cyan
Cell_11098,1,MCI4_GM,blue
Cell_11099,2,MCI4_GM,cyan
Cell_11100,1,MCI4_GM,blue
Cell_11101,1,MCI4_GM,blue
Cell_11102,1,MCI4_GM,blue
Cell_11103,1,MCI4_GM,blue
Cell_11104,1,MCI4_GM,blue
Cell_11105,1,MCI4_GM,blue
Cell_11106,2,MCI4_GM,cyan
Cell_11107,2,MCI4_GM,cyan
Cell_11108,1,MCI4_GM,blue
Cell_11109,1,MCI4_GM,blue
Cell_11110,1,MCI4_GM,blue
Cell_11111,2,MCI4_GM,cyan
Cell_11112,2,MCI4_GM,cyan
Cell_11113,2,MCI4_GM,cyan
Cell_11114,1,MCI4_GM,blue
Cell_11115,8,MCI4_GM,green
Cell_11116,7,MCI4_GM,darkgreen
Cell_11117,2,MCI4_GM,cyan
Cell_11118,2,MCI4_GM,cyan
Cell_11119,1,MCI4_GM,blue
Cell_11120,1,MCI4_GM,blue
Cell_11121,1,MCI4_GM,blue
Cell_11122,1,MCI4_GM,blue
Cell_11123,1,MCI4_GM,blue
Cell_11124,2,MCI4_GM,cyan
Cell_11125,1,MCI4_GM,blue
Cell_11126,2,MCI4_GM,cyan
Cell_11127,1,MCI4_GM,blue
Cell_11128,2,MCI4_GM,cyan
Cell_11129,1,MCI4_GM,blue
Cell_11130,1,MCI4_GM,blue
Cell_11131,2,MCI4_GM,cyan
Cell_11132,2,MCI4_GM,cyan
Cell_11133,1,MCI4_GM,blue
Cell_11134,1,MCI4_GM,blue
Cell_11135,2,MCI4_GM,cyan
Cell_11136,2,MCI4_GM,cyan
Cell_11137,2,MCI4_GM,cyan
Cell_11138,2,MCI4_GM,cyan
Cell_11139,1,MCI4_GM,blue
Cell_11140,1,MCI4_GM,blue
Cell_11141,1,MCI4_GM,blue
Cell_11142,2,MCI4_GM,cyan
Cell_11143,1,MCI4_GM,blue
Cell_11144,1,MCI4_GM,blue
Cell_11145,1,MCI4_GM,blue
Cell_11146,1,MCI4_GM,blue
Cell_11147,1,MCI4_GM,blue
Cell_11148,1,MCI4_GM,blue
Cell_11149,1,MCI4_GM,blue
Cell_11150,1,MCI4_GM,blue
Cell_11151,1,MCI4_GM,blue
Cell_11152,1,MCI4_GM,blue
Cell_11153,4,MCI4_GM,brown
Cell_11154,1,MCI4_GM,blue
Cell_11155,1,MCI4_GM,blue
Cell_11156,1,MCI4_GM,blue
Cell_11157,1,MCI4_GM,blue
Cell_11158,2,MCI4_GM,cyan
Cell_11159,2,MCI4_GM,cyan
Cell_11160,1,MCI4_GM,blue
Cell_11161,2,MCI4_GM,cyan
Cell_11162,5,MCI4_GM,yellow
Cell_11163,1,MCI4_GM,blue
Cell_11164,1,MCI4_GM,blue
Cell_11165,2,MCI4_GM,cyan
Cell_11166,1,MCI4_GM,blue
Cell_11167,1,MCI4_GM,blue
Cell_11168,1,MCI4_GM,blue
Cell_11169,2,MCI4_GM,cyan
Cell_11170,1,MCI4_GM,blue
Cell_11171,1,MCI4_GM,blue
Cell_11172,1,MCI4_GM,blue
Cell_11173,2,MCI4_GM,cyan
Cell_11174,1,MCI4_GM,blue
Cell_11175,2,MCI4_GM,cyan
Cell_11176,1,MCI4_GM,blue
Cell_11177,1,MCI4_GM,blue
Cell_11178,1,MCI4_GM,blue
Cell_11179,2,MCI4_GM,cyan
Cell_11180,2,MCI4_GM,cyan
Cell_11181,2,MCI4_GM,cyan
Cell_11182,1,MCI4_GM,blue
Cell_11183,2,MCI4_GM,cyan
Cell_11184,2,MCI4_GM,cyan
Cell_11185,1,MCI4_GM,blue
Cell_11186,1,MCI4_GM,blue
Cell_11187,1,MCI4_GM,blue
Cell_11188,1,MCI4_GM,blue
Cell_11189,1,MCI4_GM,blue
Cell_11190,1,MCI4_GM,blue
Cell_11191,1,MCI4_GM,blue
Cell_11192,1,MCI4_GM,blue
Cell_11193,1,MCI4_GM,blue
Cell_11194,1,MCI4_GM,blue
Cell_11195,1,MCI4_GM,blue
